NIR;FWI;DataAlerta;NIRAnt;AAAnt;FWIAnt
65;10.764109;11-12-2001;65;102.001;12.39151287
43;8.486079233;12-12-2001;65;37.016;10.764109
31;6.138169552;13-12-2001;43;20.992;8.486079233
34;5.7342172;14-12-2001;31;39.371;6.138169552
144;14.44189144;15-12-2001;34;11.638;5.7342172
146;12.19290207;16-12-2001;144;224.111;14.44189144
154;13.44692835;17-12-2001;146;324.8992;12.19290207
119;12.64128287;18-12-2001;154;2229.7485;13.44692835
57;9.891553801;19-12-2001;119;202.902;12.64128287
67;7.487587949;20-12-2001;57;24.54;9.891553801
82;10.92257055;21-12-2001;67;48.413;7.487587949
71;7.533416636;22-12-2001;82;39.704;10.92257055
75;11.2501954;23-12-2001;71;32.418;7.533416636
78;11.96188009;24-12-2001;75;176.344;11.2501954
76;7.096730608;25-12-2001;78;117.84;11.96188009
28;4.897221057;26-12-2001;76;51.687;7.096730608
27;3.849206696;27-12-2001;28;38.789;4.897221057
24;4.04768969;28-12-2001;27;13.622;3.849206696
31;5.238478566;29-12-2001;24;7.343;4.04768969
15;0.410234237;30-12-2001;31;7.654;5.238478566
5;1.07761266;31-12-2001;15;4.7275;0.410234237
13;0.563073166;01-01-2002;5;0.0775;1.07761266
1;0.011092255;02-01-2002;13;0.7236;0.563073166
1;4.81E-08;03-01-2002;1;0.001;0.011092255
2;0.195205247;05-01-2002;0;0;0
3;0.502714874;06-01-2002;2;0.451;0.195205247
5;1.245126364;07-01-2002;3;0.52;0.502714874
1;0.756687567;08-01-2002;5;0.191;1.245126364
16;1.768888545;09-01-2002;1;0.02;0.756687567
10;2.177056084;10-01-2002;16;4.7705;1.768888545
17;2.694840381;11-01-2002;10;1.2811;2.177056084
8;3.014082013;12-01-2002;17;5.081;2.694840381
1;0.008314947;13-01-2002;8;0.106;3.014082013
2;1.748399454;14-01-2002;1;0.0005;0.008314947
1;0.44982437;15-01-2002;2;0.002;1.748399454
4;0.51912952;17-01-2002;0;0;0
1;0.551974173;18-01-2002;4;1.52;0.51912952
2;2.351855549;20-01-2002;0;0;0
2;0.792443552;21-01-2002;2;1.5001;2.351855549
1;0.10338228;26-01-2002;0;0;0
1;0.38205053;27-01-2002;1;0;0.10338228
1;0.246505834;28-01-2002;1;0.1;0.38205053
2;3.146874642;30-01-2002;0;0;0
7;2.14182979;31-01-2002;2;0.0011;3.146874642
4;1.535609658;01-02-2002;7;1.3256;2.14182979
36;2.162440979;02-02-2002;4;3.25;1.535609658
2;0.063473842;03-02-2002;36;31.4962;2.162440979
2;0.159997282;06-02-2002;0;0;0
1;0.015972986;07-02-2002;2;0.011;0.159997282
2;0.285634025;08-02-2002;1;5.05;0.015972986
3;0.120840955;09-02-2002;2;0.015;0.285634025
5;0.263524567;10-02-2002;3;0.5003;0.120840955
5;0.90286751;11-02-2002;5;4.92;0.263524567
19;1.342071474;12-02-2002;5;0.541;0.90286751
10;0.957164621;13-02-2002;19;1.7435;1.342071474
47;4.400080002;14-02-2002;10;5.785;0.957164621
48;4.411132588;15-02-2002;47;26.332;4.400080002
50;5.685318916;16-02-2002;48;32.4935;4.411132588
33;4.475051973;17-02-2002;50;17.3321;5.685318916
44;5.134713575;18-02-2002;33;17.8121;4.475051973
69;5.654416622;19-02-2002;44;19.6112;5.134713575
36;6.878790772;20-02-2002;69;50.5975;5.654416622
31;6.082519715;21-02-2002;36;16.5471;6.878790772
